"","BroodID","FemaleRing","MaleRing","ClutchSize","EggNumber"
"1","1001","M011649","M011856",7,4
"2","1011","M007485","M001377",6,2
"3","1052","M011637","M011202",4,4
"4","1073","898630","M001670",5,1
"5","1075","M011822","M011802",6,1
"6","1077","M003800","887328",7,3
"7","1083","M011819","M001920",5,3
"8","1088","M004500","M011816",6,4
"9","1089","M011771","M011005",4,2
"10","1092","M011771","M011005",2,1
"11","1094","M005415","M011827",10,2
"12","1132","M022647","M004777",6,1
"13","1134","M022153","887328",6,5
"14","1135","M012772","M001920",4,2
"15","1136","M022166","M005424",6,4
"16","1137","M011771","M011005",6,2
"17","1157","M004500","M011816",8,4
"18","1158","M022001","M011787",5,5
"19","1159","M022166","M011236",8,2
"20","1160","M022789","M022039",7,4
"21","1161","898630","M001670",7,4
"22","1183","M022183","M022580",7,3
"23","1184","895286","M026286",4,4
"24","1185","M022166","M011236",8,2
"25","1186","M014948","M022039",6,5
"26","1188","M005415","M003801",5,3
"27","1189","M005415","M003801",8,3
"28","1190","M014481","M012646",7,4
"29","1191","M022674","M022393",9,10
"30","1194","M022680","M022174",6,3
"31","1197","M026260","M022581",9,8
"32","1198","M022177","M011060",5,6
"33","1200","M004500","M011816",7,6
"34","1202","M022674","M022393",6,4
"35","1204","M022958","M011681",6,5
"36","1206","M022695","M011832",8,6
"37","1207","M022166","M011236",8,5
"38","1211","M022154","M011827",4,2
"39","1212","M022699","M020320",4,1
"40","1214","M022154","M011827",7,3
"41","1215","M012772","M026251",7,9
"42","1217","M020873","M022577",5,2
"43","1224","M022688","M000373",7,8
"44","1225","M022688","M000373",5,7
"45","1239","M026252","M020305",7,9
"46","1240","M022389","M022355",7,4
"47","1386","M026901","M032051",8,5
"48","1387","M022647","M026265",7,3
"49","1392","M026980","M026078",7,3
"50","1399","M022694","M026075",8,6
"51","1404","M020884","M021009",6,1
"52","1418","M026986","M026316",8,2
"53","1422","M032219","M032220",6,1
"54","1426","M026255","M032042",5,1
"55","1432","M027970","M032251",6,4
"56","1438","M034529","M026276",4,3
"57","1443","M032208","M032440",5,4
"58","1451","M017312","M026816",7,2
"59","1454","M032043","M022894",4,3
"60","1456","M032131","M022879",9,5
"61","1457","M022866","M026361",6,6
"62","1459","M027866","M004351",5,4
"63","1462","M032314","M004206",6,3
"64","1463","M032228","M032203",8,4
"65","1465","M028884","M022186",8,4
"66","1469","M032208","M032440",6,1
"67","1472","M032043","M022894",5,1
"68","1474","M022098","M032249",8,2
"69","1476","M026849","M004206",6,4
"70","1480","M032222","M026816",9,1
"71","1481","M026459","M027966",5,4
"72","1484","M032124","M033603",6,3
"73","1489","M028783","M032252",7,3
"74","1490","M032499","M020488",6,3
"75","1491","M022866","M032003",9,6
"76","1496","M014948","M022113",7,5
"77","1498","M022647","M026399",6,5
"78","1501","M022647","M034814",6,4
"79","1503","M032320","M022113",3,1
"80","1589","M032426","M032313",10,9
"81","1652","M032219","M037568",8,3
"82","1666","M032129","M032348",6,2
"83","1726","M032109","M032356",8,5
"84","1731","M037871","M031559",9,4
"85","1740","M037891","M032322",7,2
"86","1754","M022891","M031539",4,1
"87","1762","M022891","M031661",11,1
"88","1771","M037569","M031774",7,1
"89","1899","M032129","M031652",7,7
"90","1901","M038109","M028786",4,4
"91","1902","M022866","M042180",7,7
"92","1903","M031751","M031558",5,5
"93","1904","M028938","M031651",6,6
"94","1905","M038111","M042115",5,5
"95","1908","M031791","M022947",5,5
"96","1909","M031884","891906",5,5
"97","1911","M038044","M026276",5,5
"98","1912","M031807","M038488",8,8
"99","1913","M037800","M032449",6,6
"100","1917","M032352","M031653",6,5
"101","1918","M038113","M038007",5,5
"102","1920","M032446","M032330",6,6
"103","1923","M037643","M032400",6,6
"104","1924","M028824","M031855",5,5
"105","1926","M037936","M031730",6,6
"106","1927","M042178","M037564",5,10
"107","1928","M031848","M038416",6,5
"108","1933","M001167","M043605",5,5
"109","1941","M031605","M031799",6,6
"110","1943","M037672","M037568",5,5
"111","1947","M028817","M004239",4,4
"112","1950","M037719","M027989",5,5
"113","1952","M037679","M036777",6,6
"114","1953","M037891","M043729",6,6
"115","1954","M038125","M037610",5,5
"116","1956","M032226","M038418",6,6
"117","1957","M037627","M034837",7,7
"118","1958","M031720","M037937",9,9
"119","1959","M032005","M026332",8,8
"120","1962","M040502","M037655",7,7
"121","1967","M038342","M038059",7,7
"122","1970","M027838","M004351",5,5
"123","1987","M028938","M031651",6,6
"124","1988","M038044","M026276",6,6
"125","1989","M028824","M031833",3,3
"126","1991","M031807","M038488",6,6
"127","1992","M034644","M031801",5,5
"128","1993","M031590","M040585",5,5
"129","2001","M037672","M037568",8,8
"130","2006","M032226","M028934",8,8
"131","2009","M031841","M032400",6,6
"132","2011","M038012","M038321",4,4
"133","2012","M037643","M031652",8,8
"134","2029","M037955","M042765",5,5
"135","2030","M032320","M032449",8,8
"136","2032","M037594","M038472",7,7
"137","2044","M038127","M037707",5,5
"138","2045","M038334","M037912",7,7
"139","2058","M038111","M042115",8,8
"140","2062","M028824","M038146",5,5
"141","2065","M032146","M038115",8,8
"142","2068","M031751","M031558",7,7
"143","2069","M042143","M032399",8,8
"144","2073","M038334","M037912",10,10
"145","2089","M032320","M028934",9,9
"146","2090","M031807","M031727",9,9
"147","2091","M040665","M038145",6,6
"148","2093","M031914","M043810",6,6
"149","2094","M041177","M040585",6,6
"150","2101","M032320","M028934",7,7
"151","2102","M043698","M038312",6,6
"152","2109","M028938","M040590",4,4
"153","2111","M043825","M040652",5,5
"154","2114","M043819","M034825",5,5
"155","2117","M043852","M038059",3,3
"156","2118","M038127","M037707",4,4
"157","2127","M043826","M040509",6,6
"158","2132","M040654","M043904",3,3
"159","2136","M038149","M041345",6,6
"160","2142","M032090","M038115",6,6
"161","2147","M031590","M043624",6,6
"162","2152","M031605","M041195",7,7
"163","2161","M040690","M040673",6,6
"164","2163","M033868","M038306",4,4
"165","2180","M043872","M037622",7,6
"166","2181","M040627","M040628",5,4
"167","2195","M043679","M042094",6,6
"168","2196","M040655","M043828",5,5
"169","2205","M037594","M038472",5,5
"170","2208","M004209","M042765",8,6
"171","2211","M028913","M031950",6,6
"172","2212","M028938","M040590",8,8
"173","2216","M043825","M047592",5,5
"174","2220","M037877","M043834",8,8
"175","2221","M040627","M040628",7,5
"176","2229","M032086","M037870",5,5
"177","2230","M040654","M040587",5,5
"178","308","871409","871131",7,6
"179","309","871409","870607",6,6
"180","310","875637","877275",7,7
"181","311","865740","864453",4,3
"182","313","875639","861501",9,9
"183","314","823934","874830",8,8
"184","315","871828","864547",5,5
"185","318","875631","860198",6,6
"186","319","869059","873612",6,6
"187","321","871619","874009",7,6
"188","323","871839","875626",7,1
"189","324","849861","870388",5,5
"190","325","875636","870738",6,6
"191","326","862729","866000",6,6
"192","329","875636","871523",6,6
"193","330","875635","875634",6,6
"194","331","861503","872186",6,6
"195","333","862729","877283",7,7
"196","334","862742","861285",4,2
"197","335","871110","866268",5,5
"198","336","871825","866268",6,6
"199","337","866346","871351",9,6
"200","338","875622","875623",4,2
"201","339","871630","858925",4,2
"202","340","871630","858925",4,4
"203","344","874058","868867",6,5
"204","346","871640","865850",5,5
"205","348","849754","870764",6,6
"206","351","865301","849759",5,5
"207","353","871005","833858",6,6
"208","354","865815","862890",6,1
"209","355","865815","862890",8,7
"210","357","862783","865825",3,1
"211","358","875633","865490",5,2
"212","360","861255","875626",7,7
"213","363","868897","875623",6,6
"214","364","874006","861626",7,6
"215","365","875609","871959",5,5
"216","366","849886","849766",7,7
"217","368","871627","871106",7,7
"218","369","863188","865915",7,5
"219","370","871646","863667",2,2
"220","373","865499","871895",5,5
"221","375","877276","875607",5,4
"222","376","859947","871388",8,8
"223","379","875643","877039",5,5
"224","380","871409","861575",6,6
"225","381","871596","861574",7,7
"226","386","877391","877392",6,6
"227","387","871828","864547",4,3
"228","388","877390","873932",6,5
"229","391","875963","877152",5,3
"230","392","861255","871031",6,6
"231","394","877081","866268",5,3
"232","395","871141","871351",4,4
"233","396","861536","863667",5,5
"234","397","868897","858925",4,4
"235","398","871627","871106",4,4
"236","399","877388","877382",8,5
"237","400","865492","871636",6,6
"238","401","877395","868867",5,5
"239","402","861598","871960",5,4
"240","403","849754","870764",4,3
"241","404","865815","877295",5,4
"242","405","865815","871388",5,5
"243","406","877111","865490",5,2
"244","407","870625","877389",8,1
"245","408","871378","875626",5,3
"246","409","877322","877321",6,1
"247","410","862783","871959",5,4
"248","411","863188","865915",5,4
"249","412","863188","865915",7,5
"250","413","877387","871344",7,6
"251","415","861503","871895",6,5
"252","416","877012","861530",5,4
"253","417","871596","861575",5,4
"254","418","871409","861574",3,3
"255","419","865620","861535",7,1
"256","420","877337","833858",5,4
"257","421","877337","833858",7,1
"258","422","877499","881125",6,4
"259","423","877477","877410",8,3
"260","424","877460","871521",5,5
"261","425","877460","871521",6,6
"262","430","861621","873932",6,4
"263","433","877563","877334",6,3
"264","436","877387","877188",8,1
"265","439","861525","861285",5,1
"266","443","871826","858925",7,2
"267","444","881104","877321",6,6
"268","447","871409","871636",7,7
"269","448","871649","870404",7,6
"270","449","877448","868867",7,4
"271","450","878735","871960",4,4
"272","451","849754","870764",4,2
"273","453","877482","877341",9,5
"274","457","877486","865490",5,2
"275","458","877472","865490",6,1
"276","459","877489","877420",8,4
"277","461","877482","871895",8,4
"278","463","877562","877175",7,2
"279","466","863188","865915",6,6
"280","467","877387","871344",4,7
"281","470","877012","861530",7,1
"282","471","871596","877674",5,3
"283","473","877337","833858",5,2
"284","478","877558","877125",6,3
"285","482","877748","877188",6,3
"286","485","877749","877578",6,4
"287","486","877322","866268",4,4
"288","487","877387","871388",7,5
"289","488","871826","877175",6,4
"290","490","877566","877759",7,4
"291","491","877730","877760",6,3
"292","492","877729","871636",6,3
"293","493","871649","870404",3,2
"294","496","877566","877759",9,4
"295","500","877505","877728",6,1
"296","501","881444","877611",7,3
"297","503","877472","865490",5,5
"298","505","877489","877513",10,5
"299","506","877303","881562",7,3
"300","510","862783","875626",6,6
"301","513","877722","877724",7,4
"302","516","862783","877762",7,3
"303","534","877701","877578",5,5
"304","543","877566","877760",8,2
"305","570","877919","877761",9,2
"306","578","889063","889393",6,4
"307","584","871826","877175",5,1
"308","603","887234","877931",8,1
"309","606","877923","877861",4,4
"310","626","877919","877761",5,2
"311","639","877722","871344",5,3
"312","657","877738","889505",8,1
"313","663","877919","871388",9,2
"314","667","889528","889258",6,1
"315","674","889544","889321",7,1
"316","679","877727","877798",6,3
"317","702","889527","889038",6,4
"318","703","889253","889529",8,2
"319","765","877566","877882",9,5
"320","805","892523","877004",5,4
"321","877","898630","M001586",6,6
"322","879","M005031","M005264",4,3
"323","880","M000376","889272",0,2
"324","881","M000376","889272",6,4
"325","882","M001396","889829",7,3
"326","883","895818","M005160",7,5
"327","884","889984","887328",4,3
"328","885","M004171","877761",7,1
"329","886","M005170","898313",5,7
"330","887","M001373","M005186",6,5
"331","889","881115","889182",9,3
"332","890","892465","877825",5,3
"333","892","M005232","X300498",6,6
"334","893","M005235","M005236",6,6
"335","894","889972","895689",7,5
"336","899","877475","899009",6,4
"337","901","M001612","889131",4,7
"338","902","M005246","889377",7,7
"339","910","M005170","M005188",6,2
"340","913","M005001","898922",7,1
"341","923","M007485","M001377",7,1
"342","924","M007485","M001377",8,1
"343","925","M005429","898313",8,2
"344","929","M001373","M005186",5,5
"345","934","M005469","877825",8,4
"346","937","M005031","899009",7,1
"347","938","M007980","898615",5,1
"348","942","M011102","M005236",7,2
"349","948","M001652","M011060",10,9
"350","950","898887","889746",6,5
"351","963","M005031","899009",6,6
"352","967","M004302","M005320",9,9
"353","969","M005238","889732",7,7
"354","974","M005450","898075",4,2
